"sent_n","ISO_language","coll","best","dstar","q1","q2","type","sent_numb","omega"
"14","fra","PSUD","4","4","0.6344","0.2662","3-4",34,0.893650045795249
"14","fra","PUD","4","6","0.4904","0.185","3-4",34,0.825824158978141
"14","hin","PSUD","7","4","0.7207","0.2113","6-7",43,0.70052142339481
"14","hin","PUD","4","4","0.613","0.1113","3-4",43,0.718835614375077
"14","ind","PSUD","5","3","0.7058","0.3044","5",57,0.842753601500845
"14","ind","PUD","4","3","0.6391","0.2996","3-4",57,0.831907440215784
"14","isl","PSUD","4","4","0.6428","0.2666","3-4",62,0.865005855801565
"14","isl","PUD","4","4","0.5274","0.3091","3-4",62,0.802336070511051
"14","ita","PSUD","4","4","0.6425","0.2523","3-4",41,0.872538422680941
"14","ita","PUD","4","6","0.5022","0.1573","3-4",41,0.830538669576676
"14","jpn","PSUD","7","5","0.771","0.2019","6-7",28,0.753854789294688
"14","jpn","PUD","4","6","0.534","0.001","3-4",28,0.788327241718303
"14","kor","PSUD","7","6","0.693","0.2161","6-7",58,0.671893802757009
"14","kor","PUD","7","6","0.6807","0.2192","6-7",58,0.669961731875289
"14","pol","PSUD","5","3","0.6831","0.3582","5",56,0.866842386363262
"14","pol","PUD","4","4","0.5669","0.3063","3-4",56,0.837736326759737
"14","por","PSUD","4","3","0.694","0.3009","3-4",33,0.846522091638676
"14","por","PUD","4","4","0.5243","0.3071","3-4",33,0.800851883344786
"14","rus","PSUD","4","5","0.609","0.1677","3-4",66,0.867050494323218
"14","rus","PUD","4","3","0.5916","0.3674","3-4",66,0.844559829693677
"14","spa","PSUD","4","3","0.71","0.3044","3-4",41,0.872005787587082
"14","spa","PUD","4","5","0.5184","0.2738","3-4",41,0.824334518331449
"14","swe","PSUD","4","5","0.5515","0.2552","3-4",64,0.834472544302122
"14","swe","PUD","4","6","0.449","0.2718","3-4",64,0.77917584031701
"14","tha","PSUD","7","6","0.7311","0.2642","6-7",33,0.8209299133059
"14","tha","PUD","6","10","0.6319","0.3151","6-7",33,0.816471133136366
"14","tur","PSUD","7","7","0.6682","0.2178","6-7",58,0.644545100268282
"14","tur","PUD","7","7","0.6543","0.2264","6-7",58,0.660586859838433
"14","zho","PSUD","6","11","0.71","0.302","6-7",49,0.662584258394391
"14","zho","PUD","7","9","0.5382","0.282","6-7",49,0.661105891326159
"15","ara","PSUD","5","3","0.7247","0.2951","5",53,0.871089812371941
"15","ara","PUD","7","4","0.6525","0.3246","6-7",53,0.864363911572132
"15","ces","PSUD","4","4","0.5933","0.2999","3-4",68,0.855418927749235
"15","ces","PUD","4","4","0.5157","0.3327","3-4",68,0.836725121415183
"15","deu","PSUD","4","4","0.5088","0.2507","3-4",58,0.724366444988681
"15","deu","PUD","4","4","0.4788","0.2255","3-4",58,0.674348905273826
"15","eng","PSUD","4","4","0.5831","0.3264","3-4",55,0.85381209684777
"15","eng","PUD","4","5","0.452","0.3212","3-4",55,0.7905639987638
"15","fin","PSUD","6","3","0.6751","0.4153","6-7",69,0.851364342609861
"15","fin","PUD","6","3","0.6002","0.4082","6-7",69,0.838391593526509
"15","fra","PSUD","4","6","0.585","0.068","3-4",40,0.880546076146661
"15","fra","PUD","4","5","0.4835","0.2838","3-4",40,0.828126391456067
"15","hin","PSUD","7","4","0.6971","0.2099","6-7",34,0.695406841097719
"15","hin","PUD","4","3","0.6719","0.1616","3-4",34,0.667745653972891
"15","ind","PSUD","5","3","0.7116","0.2864","5",48,0.85119532907578
"15","ind","PUD","4","4","0.5651","0.2626","3-4",48,0.830850785979967
"15","isl","PSUD","4","4","0.6563","0.2639","3-4",69,0.896189531272608
"15","isl","PUD","4","5","0.5085","0.2855","3-4",69,0.843267133256825
"15","ita","PSUD","4","5","0.6335","0.2244","3-4",39,0.916122103599213
"15","ita","PUD","3","5","0.5247","0.3675","3-4",39,0.88371909417731
"15","jpn","PSUD","7","7","0.7285","0.2183","6-7",21,0.758261756504883
"15","jpn","PUD","4","6","0.5246","0.04","3-4",21,0.789117855077073
"15","kor","PSUD","7","6","0.7016","0.2004","6-7",71,0.675551525079956
"15","kor","PUD","7","6","0.6912","0.2034","6-7",71,0.675452038689937
"15","pol","PSUD","4","3","0.6628","0.3354","3-4",76,0.865000693507307
"15","pol","PUD","4","3","0.5917","0.3438","3-4",76,0.844071721010619
"15","por","PSUD","4","5","0.6175","0.157","3-4",46,0.886023397737806
"15","por","PUD","4","5","0.5101","0.2544","3-4",46,0.83375490052049
"15","rus","PSUD","4","4","0.6194","0.2902","3-4",75,0.868834287745074
"15","rus","PUD","4","4","0.5535","0.3277","3-4",75,0.855263505429862
"15","spa","PSUD","4","4","0.6501","0.2578","3-4",42,0.879047837311208
"15","spa","PUD","4","6","0.4994","0.2135","3-4",42,0.824278462075847
"15","swe","PSUD","4","4","0.5985","0.3141","3-4",50,0.862804304096939
"15","swe","PUD","4","6","0.4744","0.2449","3-4",50,0.819325705066284
"15","tha","PSUD","5","2","0.7814","0.3699","5",35,0.852878191428836
"15","tha","PUD","5","3","0.6204","0.3136","5",35,0.835703937976664
"15","tur","PSUD","7","7","0.666","0.2147","6-7",67,0.666050571678842
"15","tur","PUD","7","7","0.6552","0.2138","6-7",67,0.65765319578382
"15","zho","PSUD","5","2","0.7165","0.297","5",43,0.689939603883601
"15","zho","PUD","7","4","0.6478","0.2962","6-7",43,0.670314750095706
"16","ara","PSUD","6","10","0.8052","0.3455","6-7",49,0.858172694014627
"16","ara","PUD","6","10","0.7539","0.3373","6-7",49,0.845272238117451
"16","ces","PSUD","4","3","0.6483","0.325","3-4",72,0.851652697062559
"16","ces","PUD","4","4","0.5159","0.3015","3-4",72,0.816093826922125
"16","deu","PSUD","4","4","0.5312","0.2244","3-4",50,0.738663565961095
"16","deu","PUD","4","6","0.4393","0.1537","3-4",50,0.709071859613431
"16","eng","PSUD","4","4","0.6163","0.2981","3-4",58,0.879050382500127
"16","eng","PUD","4","6","0.459","0.2743","3-4",58,0.819546949946193
"16","fin","PSUD","3","3","0.613","0.3818","3-4",65,0.877779730458617
"16","fin","PUD","6","3","0.6255","0.3975","6-7",65,0.85624117867679
"16","fra","PSUD","4","5","0.6165","0.1855","3-4",38,0.893148429187431
"16","fra","PUD","4","5","0.5161","0.2787","3-4",38,0.855014080512337
"16","hin","PSUD","7","5","0.7125","0.1966","6-7",56,0.709747402417933
"16","hin","PUD","7","5","0.6569","0.2114","6-7",56,0.711996283341383
